,char_img,characters,id,img,lesson_pos,level,mean_mne,meanings,updated,url
0,,?,1,,0,level_1,"This radical consists of a single, horizontal stroke. What's the biggest, single, horizontal stroke? That's the <radical>ground</radical>. Look at the ground, look at this radical, now look at the ground again. Kind of the same, right?",Ground,2019-12-31T06:03:43.532468Z,https://www.wanikani.com/radicals/ground
1,,?,2,,1,level_1,"Picture a fish. Now picture the fish a little worse, like a child's drawing of the fish. Now erase the fish's body and... you're left with two <radical>fins</radical>! Do you see these two fins? Yeah, you see them.",Fins,2019-12-31T06:03:43.559317Z,https://www.wanikani.com/radicals/fins
2,,?,3,,2,level_1,"This little radical is a <radical>drop</radical> of water or some other liquid. Notice how it's only one drop? Sometimes radicals or kanji will have more than one drop, so it's important that you know how to tell them apart.",Drop,2020-01-13T20:37:21.900700Z,https://www.wanikani.com/radicals/drop
3,,?,4,,14,level_1,"What does this radical look like? Hmm, nothing much. What about if you turn it upside down? Now does it look like a 7 with a line through it? Close enough to help you to remember that this radical is <radical>seven</radical>, right? Just remember, when you see this radical, flip it over and see what number it looks like. If you can do that, you can remember the meaning!",Seven,2019-12-31T06:03:43.603321Z,https://www.wanikani.com/radicals/seven
4,,?,5,,3,level_1,"Close your eyes and imagine you're a kid again. Now open them and... look! It's a <radical>slide</radical>! Imagine little you sliding down this slide over and over, having a great time. Imagination + emotion makes for good memorization!",Slide,2020-01-17T21:54:39.146215Z,https://www.wanikani.com/radicals/slide
5,,?,6,,4,level_1,"This radical is shaped like a <radical>barb</radical>. Like the kind you'd see on barb wire. Imagine one of these getting stuck to your arm or your clothes. Think about how much it would hurt with that little hook on the end sticking into you. Say out loud, ""Oh dang, I got a barb stuck in me!""",Barb,2019-12-31T06:03:43.648607Z,https://www.wanikani.com/radicals/barb
6,,?,7,,5,level_1,"One line plus another line equals <radical>two</radical> lines. This radical represents the number two. Pretty simple, right? Can you guess what three looks like? I bet you can...",Two,2019-12-31T06:03:43.670238Z,https://www.wanikani.com/radicals/two
7,,?,8,,6,level_1,"This looks like something you'd put on a kettle or a pot, right? It even has a little handle to make sure you don't burn yourself. This is some kind of <radical>lid</radical>.",Lid,2019-12-31T06:03:43.691429Z,https://www.wanikani.com/radicals/lid
8,,?,9,,8,level_1,"If you were to draw a <radical>person</radical> with just strokes like you see in kanji, you'd create a stick figure, maybe something like this: <ja>?</ja>. But this is just a person, not someone holding out their arms to show how big they are. So their arms are down, which makes them look like a torso with a pair of legs. Maybe they're walking too, which is why their legs are spread out like that. You can see the person now, can't you?",Person,2019-12-31T06:03:43.714047Z,https://www.wanikani.com/radicals/person
9,,?,10,,24,level_1,"This radical looks just like the katakana character <ja>?</ja> (to), which sounds like the word <radical>toe</radical>. So when you see <ja>?</ja>, think toe.",Toe,2020-02-28T00:28:49.712971Z,https://www.wanikani.com/radicals/toe
10,,?,11,,20,level_1,"If you look at this radical in just the right way, you'll notice that it kind of looks like the letters ""n"" and ""i"" (the ""i"" comes from the little flippy-up stroke on the right side). What do the letters ""n"" and ""i"" start spelling? Why, the word <radical>nine</radical>.",Nine,2019-12-31T06:03:43.759877Z,https://www.wanikani.com/radicals/nine
